zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
98245,STANDARD,Eastsound,WA,San Juan County,America/Los_Angeles,360,48.62,-122.87,3780
98247,STANDARD,Everson,WA,Whatcom County,America/Los_Angeles,360,48.9,-122.3,8520
98248,STANDARD,Ferndale,WA,Whatcom County,America/Los_Angeles,360,48.86,-122.63,25450
98249,STANDARD,Freeland,WA,Island County,America/Los_Angeles,360,48.01,-122.54,5210
98250,STANDARD,Friday Harbor,WA,San Juan County,America/Los_Angeles,360,48.53,-123.06,8070
98251,STANDARD,Gold Bar,WA,Snohomish County,America/Los_Angeles,360,47.86,-121.66,4540
98252,STANDARD,Granite Falls,WA,Snohomish County,America/Los_Angeles,360,48.05,-121.74,10070
98253,STANDARD,Greenbank,WA,Island County,America/Los_Angeles,,48.09,-122.57,1740
98257,STANDARD,La Conner,WA,Skagit County,America/Los_Angeles,360,48.41,-122.53,4050
98258,STANDARD,Lake Stevens,WA,Snohomish County,America/Los_Angeles,,48.04,-122.05,49530
98260,STANDARD,Langley,WA,Island County,America/Los_Angeles,360,48.04,-122.44,5380
98261,STANDARD,Lopez Island,WA,San Juan County,America/Los_Angeles,360,48.49,-122.87,2370
98262,STANDARD,Lummi Island,WA,Whatcom County,America/Los_Angeles,360,48.69,-122.66,790
98264,STANDARD,Lynden,WA,Whatcom County,America/Los_Angeles,360,48.95,-122.43,22260
98266,STANDARD,Maple Falls,WA,Whatcom County,America/Los_Angeles,360,48.96,-122.12,3420
98267,STANDARD,Marblemount,WA,Skagit County,America/Los_Angeles,,48.44,-121.27,390
98270,STANDARD,Marysville,WA,Snohomish County,America/Los_Angeles,360,48.05,-122.14,48870
98271,STANDARD,Marysville,WA,Snohomish County,America/Los_Angeles,360,48.09,-122.24,28810
98272,STANDARD,Monroe,WA,Snohomish County,America/Los_Angeles,360,47.87,-121.88,27650
98273,STANDARD,Mount Vernon,WA,Skagit County,America/Los_Angeles,360,48.42,-122.42,29100
98274,STANDARD,Mount Vernon,WA,Skagit County,America/Los_Angeles,360,48.36,-121.98,17190
98275,STANDARD,Mukilteo,WA,Snohomish County,America/Los_Angeles,,47.91,-122.3,21470
98276,STANDARD,Nooksack,WA,Whatcom County,America/Los_Angeles,360,48.93,-122.33,1420
98277,STANDARD,Oak Harbor,WA,Island County,America/Los_Angeles,360,48.32,-122.63,37600
98279,STANDARD,Olga,WA,San Juan County,America/Los_Angeles,360,48.63,-122.8,520
98281,STANDARD,Point Roberts,WA,Whatcom County,America/Los_Angeles,360,48.98,-123.05,1160
98282,STANDARD,Camano Island,WA,Island County,America/Los_Angeles,360,48.16,-122.49,15910
98283,STANDARD,Rockport,WA,Skagit County,America/Los_Angeles,360,48.8,-121.26,320
98284,STANDARD,Sedro Woolley,WA,Skagit County,America/Los_Angeles,360,48.59,-122.13,23710
98290,STANDARD,Snohomish,WA,Snohomish County,America/Los_Angeles,360,47.94,-122,34490
98292,STANDARD,Stanwood,WA,Snohomish County,America/Los_Angeles,360,48.21,-122.28,23220
98294,STANDARD,Sultan,WA,Snohomish County,America/Los_Angeles,360,47.85,-121.74,7010
98295,STANDARD,Sumas,WA,Whatcom County,America/Los_Angeles,360,48.94,-122.23,2640
98296,STANDARD,Snohomish,WA,Snohomish County,America/Los_Angeles,360,47.85,-122.09,26600
98303,STANDARD,Anderson Island,WA,Pierce County,America/Los_Angeles,,47.15,-122.7,1110
98304,STANDARD,Ashford,WA,Pierce County,America/Los_Angeles,360,46.88,-121.74,650
